FOXA2	SALL1
CDK9	INTS10
CDK9	INTS11
CDK9	INTS12
IDH3A	SLC25A3
CENPQ	WAPL
CD79B	IGHV4-59
IL3	INPPL1
BTRC	SKP1
BTRC	SKP2
NUP35	NUP98
POLR2D	RBM8A
DVL1	KIF3A
NUP35	NUP93
BPTF	EBF1
BPTF	EBF2
BPTF	EBF3
DHX15	SYF2
BPTF	EBF4
EBNA1BP2	NOL9
CREB1	PCDHB11
RPL37A	RPLP0
RPL37A	RPLP1
RPL37A	RPLP2
CTNNB1	DDX1
GJA4	TJP1
CTNNB1	DDX5
FYN	JAK1
MDM2	NUP153
NEK8	TGFBR1
FYN	JAK2
RPL28	SRP19
FYN	JAK3
MDM2	NUP155
COG8	COPG1
COG8	COPG2
DLG2	SIPA1L1
CYP2A6	UGT2B15
MAVS	SLC39A12
CYP2A6	UGT2B17
EXOSC10	UTP3
EXOSC10	UTP4
EXOSC10	UTP6
CYP2A6	UGT2B10
BABAM1	RPS27A
CYP2A6	UGT2B11
RPL28	SRP14
AKAP8	MAPK3
CDK5RAP2	PCM1
EP300	KAT2A
EP300	KAT2B
PRDM14	RBM10
IGHV3OR16-10	IGKC
FCGR2B	PTPN6
COPA	KIF5A
CYP2A6	UGT2B28
PPP1R2	ZFR
CDK12	CDK7
LMO4	PIAS1
FAM120B	PPARA
CDK12	CDK9
LMO4	PIAS3
RPS28	SRP72
GRB2	SYK
FAM120B	PPARG
SPSB1	UBE2A
MDM2	NUP133
RPS28	SRP68
SPSB1	UBE2F
MED1	RORA
MED1	RORB
JUNB	RAD21
MED1	RORC
IGHV3-11	IGKV2D-28
DCTN1	MARK4
LEF1	RAG2
SMARCA4	WDR77
DKC1	PPAN
LTA	NOTCH1
CD8A	ETS1
KPNA1	NDC1
NAA30	NAA35
NAA30	NAA38
CDK5RAP2	PCNT
HMGN1	POLK
AKT3	DKFZP686N2325
COPA	KIF3A
COPA	KIF3B
COPA	KIF3C
HUWE1	UBA1
FBXL16	FBXW7
FBXL16	FBXW8
FBXL16	FBXW9
PPIH	SRSF1
PPIH	SRSF2
PPIH	SRSF3
PPIH	SRSF4
IL1RL1	IRAK4
PPIH	SRSF5
COL18A1	CRTAP
PPIH	SRSF6
FBXL16	FBXW2
PPIH	SRSF7
IGHV3-11	IGKV2D-30
FBXL16	FBXW4
PPIH	SRSF9
FBXL16	FBXW5
COPA	KIF4A
EDA	MAL
COPA	KIF4B
DAG1	DRP2
EGR2	YWHAH
IL1RL1	IRAK1
EP300	KAT6A
FBXO43	FBXW11
RPS28	SRP54
TSPOAP1	UNC13B
NR1D1	TIMELESS
IGHV3-11	IGKV2D-40
MDM2	NUP107
RPL6	RPS4Y1
CREB1	LDHA
COPA	KIF15
AGER	ITGAM
PSME2	UBB
PSME2	UBC
PSME2	UBD
AGER	ITGB2
PSMA2	SNCAIP
APP	BCL3
COPA	KIF22
NF2	TSC1
COPA	KIF23
FIP1L1	SYMPK
NCOR1	SPEN
COPA	KIF2A
PIK3CB	RASA1
COPA	KIF2B
COPA	KIF2C
CENPO	ZW10
TNF	TNFRSF11A
TNF	TNFRSF11B
B4GALT1	TNF
H3-3A	PYGO2
TERT	XRCC5
TERT	XRCC6
FCER1G	NCF1
HDAC3	TCF7L1
FBXW11	REST
FCER1G	NCF2
HDAC3	TCF7L2
H3-3A	PYGO1
TANK	ZC3H12A
HERC6	SMURF2
AURKAIP1	MRPL4
IFI16	MRE11
PNN	SRSF4
FBXO21	RBCK1
APOB	CTCF
ECPAS	TSR1
AURKAIP1	MRPL9
SF3B1	SLU7
EIF4G1	PNRC2
IL12RB2	NFATC1
IL12RB2	NFATC2
IL12RB2	NFATC3
FBXL16	FBXL4
FBXL16	FBXL5
FBXL16	FBXL7
FBXL16	FBXL8
DHX38	TPR
AQP1	ZNF16
ITGB3	MAP3K1
SP110	TSC22D1
SF3B4	SMNDC1
FBXL16	FBXL3
APCS	C4BPA
NTRK1	SARM1
HNRNPD	WDR33
CAND1	FBXO2
TSPO2	VDAC1
CAND1	FBXO4
TSPO2	VDAC2
TSPO2	VDAC3
CAND1	FBXO6
CAND1	FBXO7
CAND1	FBXO9
ARHGEF7	HBEGF
CTNNB1	FERMT2
RPL28	SRP72
INPP5B	STM7
OR13C3	REEP1
MTREX	SNRNP40
AP1G2	ARL17A
EP300	HIST1H1T
SYT1	WASL
MTM1	PLCG1 VARIANT PROTEIN
STX11	STXBP1
CCL13	CX3CR1
STX11	STXBP2
FBXL16	FBXO7
CENPF	KIF18A
FBXL16	FBXO9
OBSCN	RAC1
OBSCN	RAC2
OBSCN	RAC3
AMFR	HERPUD1
RPL28	SRP68
SMARCA2	SNIP1
CTDNEP1	PTPN1
CCNT1	POLR2A
ANO4	CLCA3P
CCNT1	POLR2B
FBXL16	FBXO2
CCNT1	POLR2C
CCNT1	POLR2D
FBXL16	FBXO4
HTR1E	SST
CCNT1	POLR2E
CCNT1	POLR2F
FBXL16	FBXO6
CCNT1	POLR2G
FAT4	FRMD1
CCNT1	POLR2H
CCNT1	POLR2I
CCNT1	POLR2J
CCNT1	POLR2K
CENPQ	EML4
CTCF	USP9X
CCNT1	POLR2L
FAT4	FRMD6
CSNK1D	SEC13
RPL28	SRP54
BLK	IGLV2-8
NR4A1	RELA
RBX1	SUFU
MAP3K6	YWHAZ
MDM2	NUP188
C1QBP	H3-2
HGF	IL7
STX11	STXBP5
APLP1	PCDHA4
CXCL12	GRK6
ARPC5	IGLV6-57
PSMA8	TNKS
AURKAIP1	MRPS2
FLRT3	UNC5A
FLRT3	UNC5B
AURKAIP1	MRPS5
FLRT3	UNC5C
AURKAIP1	MRPS6
FLRT3	UNC5D
AURKAIP1	MRPS7
SERPINE1	VLDLR
AURKAIP1	MRPS9
DHX16	PQBP1
PEX11B	PEX19
CD8A	IL12A
CD8A	IL12B
COPS6	NEDD8
PTK2	RGS1
CCT3	CCT4
CCT3	CCT5
CCT3	CCT7
CCT3	CCT8
CAND1	FBXL3
CAND1	FBXL4
MRPL4	MTIF2
CAND1	FBXL5
MRPL4	MTIF3
MYC	PPP2CA
CAND1	FBXL7
CAND1	FBXL8
CSF1	STAT1
MDM2	NUP160
COG8	COPB2
CSNK1E	PCNT
BMPR2	PPP1CA
CXCL12	GRK2
PPFIA1	SYDE1
PPFIA1	SYDE2
GAPVD1	HIP1
COG8	COPB1
NOXA1	NOXO1
CCNT1	NUFIP1
C1QBP	H4C1
H4C1	PARP1
GTF2B	SUPT4H1
PNN	SRRM2
PSME2	SHH
MTHFR	USF1
AP2A2	GRIP1
AP2A2	GRIP2
ATP6V0A2	ATP6V1E1
ATP6V0A2	ATP6V1E2
DLG1	EXOC4
COL4A4	PTK2
HNRNPC	SRSF6
NTRK1	STAT5B
PRPF19	WBP4
HNRNPC	SRSF7
GRB2	RET
HNRNPC	SRSF9
MYH10	MYLPF
PTP4A2	RABGGTA
PTP4A2	RABGGTB
HNRNPC	SRSF1
HNRNPC	SRSF2
HNRNPC	SRSF3
HNRNPC	SRSF4
HNRNPC	SRSF5
DDX58	ZC3HAV1
DAB2	PRKCB
DAB2	PRKCD
HSP90AF	RBM19
EED	HNRNPA2B1
