J3QLR1	Q96A08
E5RG31	Q96A08
O60296	O95295
H0YM03	Q96DE8
A0A0J9YYK1	Q9UG07
P28360	Q01726
E9PP50	Q53G76
Q53EL6	Q9NYF8
E9PP50	Q53G99
E5RG31	Q96B14
A0A1W2PRR1	E9PKD5
P04156	P46695
B4DXN3	Q6PJZ4
A0A0J9YYK1	Q9ULK5
B7Z5N7	Q2TAB5
P00338	P04040
B7ZA74	P43686
B4DEB4	G3V5A9
B4DEB4	G3V4B7
A0PJB2	Q13619
A8MUP5	C9JJV4
P09429	P17676
E9PMU0	O00567
A0A1W2PRR1	E9PI65
B4DPI8	P60709
O00232	Q6IBN0
Q53ET5	Q59G13
O60496	P42684
C9J0E9	C9J9M4
A0A3B3ISK1	M0QXB4
B1AA16	B7Z425
B7Z385	Q6PJ43
A0A1W2PRR1	E9PG15
A0A1W2PRR1	E9PF84
C9J8X3	Q9P2Q2
A0A3B3IRR8	Q8N257
H0Y815	Q96FV9
Q58FF3	U3KQF3
P52747	Q96JC9
O95684	P29279
E5RHL9	Q92600
A0A1W2PRR1	E9PD24
A0A1W2PRR1	E9PD39
J3QL53	Q92905
A8KA24	E9PNU4
A0A2R8Y8D6	Q6DKI9
A0A2R8Y5M3	P31946
A0A2R8Y5M3	P31947
H0Y815	Q96J01
H0YKT8	Q13041
F5H2D2	Q9BSE8
J3QS88	Q59FJ0
A0A1S5UZ19	Q15436
A0A1S5UZ19	Q15437
Q15542	Q16531
B4DTM8	Q6ZMJ6
B4DYP9	Q58A51
K7EPW7	Q2VPJ6
J3QS88	Q59EG8
J3QS88	Q59EL2
B3KN03	H0YFC6
H0YKT8	Q13200
J3QTR3	Q86SX1
B4DFE4	E9PS35
P49715	Q99062
O60664	Q8TB40
J3QTR3	Q86U12
A0A2U3TZQ7	B4DSC8
I3L350	Q58FF2
I3L350	Q58FF3
I3L350	Q58FF4
I3L350	Q58FF6
I3L350	Q58FF7
I3L350	Q58FF8
I3L350	Q58FF9
I3L350	Q58FG0
I3L350	Q58FG1
Q53GI4	Q9GZV5
O00291	O15294
B4DII5	J3KQE5
A0A2U3TZQ7	B4DRT1
E9PI65	P60174
P23246	Q05925
H7C378	Q8NB89
Q15648	Q92830
K7EN36	X5D7S1
P63162	Q8TEQ6
A8K5S3	B2RA72
P12004	Q01831
A8K5D8	A8K5S3
B1AA17	O75558
A0A2U3TZQ7	B4E117
Q15542	Q16695
B7ZA86	Q8N9Z3
A0A3B3ITI7	D6RCL6
P13010	P15927
A0A3B3ITI7	D6RBT6
K7EIT4	P62258
B4DII5	J3KTM9
E9PKD5	P08238
A8K651	Q0VAS5
A0A3B3ITI7	D6RBG7
A0A2U3TZQ7	B4DNT1
B3KN82	Q7Z726
P49715	Q99583
B4DQ39	Q5QNW6
B2R8F2	P35998
A0A3B3ISK1	M0R061
Q7Z2G1	Q96A08
Q93000	Q9UJA3
E5RG31	Q96FC9
A0A0C4MW46	B4DG83
A0A0K0K1I8	C9JUZ7
P49715	Q8WYK2
Q07817-3	Q8NFF3
A0A0G2JHJ2	B3KTH1
O75402	Q53F02
O15143	P13284
P43699	Q92908
M0R0F0	Q53HB3
A0A2R8YFJ4	Q96ES7
B4DMT4	Q14203
A0A0C4MW46	B4DHJ7
B3KSH1	P61201
P80098	Q04864
A0A2U3TZQ7	B4DK35
M0R0F0	Q53GF8
P98095	P98160
A0A0G2JHJ2	B3KRG2
A0A087X059	B4DHR2
Q15648	Q92908
E5RG31	Q96F82
A0A3B3ITI7	D6R997
Q9NZP6	Q9UKX7
A0A0K0K1I8	C9JQS3
Q13523	Q96DI7
A0A0K0K1I8	C9JPK3
P80098	Q04206
P62913	Q9UQ80
H0YM03	Q96N86
B2RA29	E9PMH7
B2RA29	E9PLL2
P13010	P15121
J3QS88	Q59G89
A0A2R8YFJ4	Q96BN2
J3QS88	Q59GH5
A0A0C4MW46	B4DEB4
J3QS88	Q59GS3
O60675	P17275
A0A0C4MW46	B4E0L2
C9J8M6	E5RFF9
B7Z1G3	H0YJ49
B7Z1G3	H0YJ75
C9J8M6	E5RG31
B4E205	B4E3U3
B7Z1G3	H0YJU0
B4DMS8	O43410
B4DUK7	Q9H7G6
C9J8M6	E5RH56
A0A0C4MW46	B4DQ36
I3L3G9	I3L3N5
A0A0C4MW46	B4E1X9
E9PM12	Q86Y82
B8ZZ43	Q5TEC6
I3L3G9	I3L3T1
O60675	P17535
O60675	P17542
Q06587	Q6W2J9
B4DMT5	K7EJC1
A0A2R8Y6S3	B2R6K0
A0A0C4MW46	B4E3L8
B4DJB4	F8VPD4
A6QKW0	B7Z1G8
B4E0X6	B4E2Y4
B4DMT5	K7EJR3
O95931	Q9HC52
A6QKW0	B7Z7A8
A0A494C101	B3KX11
A0A0K0K1I8	B4DJX9
H0YJC4	P25786
H0YJC4	P25788
H0YJC4	P25787
H0YJC4	P25789
P07948	Q14511
B7Z1G3	H0YN84
A0A0K0K1I8	B4DKF6
P11532	P29475
A6QKW0	B7Z8F3
E7EW33	Q6P1M2
A0A0K0K1I8	B4DIV0
B3KP06	Q96CD4
A0A0C4MW46	B4DLY8
P61619	U3KQ84
F5H282	F8WAM2
Q7Z2G1	Q99877
Q7Z2G1	Q99879
Q7Z2G1	Q99880
H0YGN4	X6R3L3
A0A0K0K1I8	B4DKR0
A6QKW0	B7Z605
A6NJI9	B4DDC7
Q5H9N4	Q7Z726
P26038	P28482
B2R7X3	Q16695
E9PG15	Q9H3B0
B7Z1G3	H0YC23
A0A1V1G0E9	P42345
E9PI65	P61981
H3BNT7	Q9NSM5
A0A494C1B7	P49959
O00220	P22681
O15234	P31749
Q6ZT12	Q86X95
A8K781	O75312
A8K781	O75322
C9J0E9	C9JW37
H7C003	P62136
B7Z1H4	P50990
A0A2R8YGD6	Q0VAM5
P05388	Q92905
P07949	Q38SD2
Q9NXL9	Q9Y248
A8MU27	O60587
B4DMT5	K7ES36
A5GZ75	Q5VT97
Q13546	Q5S007
H3BU42	Q8N5H7
A0A0K0K1I8	B4DGP9
A0A0K0K1I8	B4DH37
E9PG15	Q9H4N8
O95751	P56524
E9PKD5	Q5CAQ5
E9PKD5	Q5CAQ4
P00338	P05161
B4DE70	F6VX93
A0A0C4DGE4	Q96NX8
A0A0C4MW46	B4DS82
A0A2R8Y619	Q6NXT2
P09619	Q12965
B3KQV6	Q14738
A0A087WY74	B4DUJ4
Q13490	Q9ULV8
A0A0C4MW46	B4DTN1
A0A1B0GVQ5	E5RHT3
A0A0C4MW46	B4DU51
A0A0C4DGE4	Q96N91
B4DU38	V9HW24
A0A0C4DGE4	Q96NA8
P20290	P67870
A0A0C4MW46	B4DUN8
E9PPY8	F6SFB5
A0A0K0K1I8	B4DE70
A0A0C4DGE4	Q96QI9
Q13523	Q96SB4
B4DMT5	K7ENY6
I3L350	Q59EK6
P02730	P22748
E9PG15	Q9GZM8
B4DIK6	E5RHZ7
A0A087WWR6	X5D2F4
I3L350	Q59FC6
Q15116	Q92520
Q8NF99	Q969J2
E9PG15	Q9GZV5
E9PQG3	F5GX11
C9JQL4	H0Y337
O00487	V9HW24
B4DIK6	E5RIQ7
P09429	P19532
P33992	Q8NHX6
B2R7T8	F8W9N7
O75844	P08473
B3KNW1	Q10567
F5H282	F8VQ14
A6NMS2	Q53FW2
P27348	Q6TXQ4
G1UI19	Q96QB7
A0A3B3IRR8	Q92771
A8K8Q4	Q6IC76
B2R7T8	F8VXW2
C9JQL4	H0Y5A9
B7Z1G3	H0Y8C4
A8MX75	C6EMX8
P17980	X6R5E5
B4DJX9	Q7Z338
C9J0E9	C9JPC0
J3QLR1	Q8WVC0
B4DYP9	Q59GD0
H7C036	K7EJ37
Q59GS3	Q6PI48
B4DVQ5	Q6ZNE1
Q0D2M2	Q9H4N9
A8MUP5	C9JXC6
B1AA16	B7ZLB1
Q5TD97	Q9UBP5
A0A384ME16	B4DL02
A0A0S2Z3D9	B4DMJ8
E9PG15	Q9H6X9
P16615	Q9UJZ1
P15812	P43626
P15812	P43628
P15812	P43629
P15812	P43631
P14921	P84022
B4DUQ9	G3XAN3
A0A0S2Z3D9	B4DKN9
P07948	Q14CB8
A8K781	O75832
B4DYP9	Q59EG1
J3QLR1	Q99877
J3QLR1	Q99879
J3QLR1	Q99880
Q59GS3	Q6PK50
B4DYP9	Q59EM3
E9PI65	P61758
P33992	Q8NFT6
B2RPK0	Q04726
E9PG15	Q9H984
P25391	Q02388
O14776	O95232
O43638	Q92769
A0A3B3IRP4	Q9NR50
O94916	P51671
A0A384ME16	B4E1E7
O43638	Q92826
G1UI19	Q96F82
C9J3V9	G5E9R0
P40818	P63244
B1AA16	B7ZBM4
B1AA16	B7ZBM5
