J3KQE5	Q6PKD4
O60486	Q13308
B4DYT1	Q9NXL9-4
Q03405	Q9HBL7
K7EQA9	Q58FF2
K7EQA9	Q58FF9
K7EQA9	Q58FF8
K7EQA9	Q58FF7
K7EQA9	Q58FF6
K7EQA9	Q58FF4
K7EQA9	Q58FF3
K7EQA9	Q58FG1
K7EQA9	Q58FG0
Q5QNW6	Q96A08
O95325	Q53HJ0
P22626	Q9Y483
B4DUR8	H7C4C8
B2R6N6	B4DMT8
O95325	Q53GN6
O95325	Q53FV3
Q08945	Q9Y5X4
B7Z438	E9PDQ8
P47756	P60709
P11802	P67870
J3QS88	P51665
Q06124	Q15303
B4DUR8	H7C2U0
B7ZLB1	Q5SQN1
B3KT21	Q92843
Q96JK9	Q9Y6K9
O75674	P12931
Q8N2W9	Q92769
P14314	P17980
Q8N5P9	Q96AQ7
O95835	P58012
A7VJS2	B2R6C6
B3KNL3	Q8WWL3
H0YCQ8	Q7L5N1
Q53FV3	Q96N86
Q06124	Q15811
P61353	Q6NVV1
B2R6N6	B4DY04
Q8N5I2	Q9H0M0
E9PD24	Q53S41
E9PD24	Q53RR5
B2R4I8	O43747
H0YMV3	P62333
P02788	P08571
P52630	Q92769
P15923	P17844
B7ZLB1	Q5T4Q0
Q8N2W9	Q92889
Q8N2W9	Q92985
H0YMV3	P62191
H0YMV3	P62195
B3KW74	B4DEA3
P54792	Q13308
O60674	P41968
Q6IAL5	Q96I99
P54792	Q13485
Q02535	Q68DY1
B3KW74	B4DDJ7
P54792	Q13501
P54792	Q13518
P32856	Q92673
B4DVQ0	E9PP50
Q92878	Q9BVC3
A6PVX3	R4GNH3
Q02246	Q12860
A0A087WX41	B4E1E2
Q8TEE9	Q92769
P55795	Q9BRX9
Q53FV3	Q96DE8
B4DND6	Q9Y6E3
P11142	P54252
P06746	Q9UNE7
Q9H4T2	Q9NWS9
P61586	Q6DT37
B4DVQ0	E9PQB7
B4DIH5	O43242
I3L0K7	Q6PK50
F2Z307	P36543
P31949	P80188
A6PVI3	O75533
P49005	Q14191
P16104	P28070
B4DVQ0	E9PS23
A5GZ75	F6RFD5
Q92878	Q9BS79
A6PVI3	O75400
E9PMD8	Q6IB71
B4DYT1	Q9H4N9
Q5VZM0	Q9NQL2
F8VUA2	O75351
B3KVF0	Q7Z6P5
A1L461	B3KVC6
Q14749	Q96HA8
P26196	Q9UKV8
O14640	P81877
P56962	Q96NA8
Q15650	Q9P086
H7C3T0	H7C531
A0A0J9YWE8	B7Z2E6
Q86TM6	Q93009
B7ZLZ7	C9IYK2
F5H847	R4GN72
D6RBL4	H0YFV6
B7ZLZ7	C9J9E4
Q99962	Q9HBZ2
O14920	P23396
B1AP52	Q4VY19
P41134	Q02535
E9PAV3	P20290
K7EQA9	Q59EK6
E9PKD5	O00233
O95071	P0CG48
E9PQX9	Q01658
K7EQA9	Q59FC6
A0A0D9SET9	P50213
P07737	Q13464
P0C860	P23396
P56962	Q96JC1
Q9C000	Q9NPP4
P56962	Q96JB2
B4DX08	Q59H77
Q8NHX6	Q9UJA3
P15923	P19338
A1L0W4	P08238
O94901	Q99598
P11802	P68400
P47211	P49407
Q5SZX9	Q6IBT3
O96019	Q01844
B4DMA2	Q2VPJ6
O95155	Q13257
P14625	P17980
P51553	Q96I99
H0YBN0	Q9UK41
Q8N3R9	Q9NUP9
P13688	Q06124
G9K388	Q8IX26
G9K388	Q8IX27
G9K388	Q8IX28
P56962	Q96AJ9
A0A0S2Z5R6	Q4G0Z9
P53367	Q96Q33
B2RCG9	G3V2U3
Q6DN03	Q8N257
H7C3T0	Q13098
O14802	P36954
A1L461	B3KN75
Q96DF8	Q96GM5
F5H459	O94973
H0YEG0	P53680
O75164	Q13547
Q15650	Q9NVC6
P57053	P58876
Q7L5N1	Q9UNM6
Q7L5N1	Q9UNM7
C9JWN1	Q6IBS5
O96019	Q01201
P56962	Q969X5
O00487	P11413
B7ZLZ7	C9J578
P52799	P78509
Q16539	Q9UEW8
P56377	Q9UPM8
P11047	P35555
P48431	Q9BZK7
P48431	Q9BYW2
P13349	Q13547
P12931	Q9H1R2
A8K6M4	Q59G13
P81877	Q99594
A0A087WYL6	I3L3T1
Q5H8A4	Q92535
O95817	P16949
P48431	Q9BXA9
E9PMC5	J3QL14
E7EQ34	Q96AJ9
Q05DG7	Q4G0F5
A0A087WWJ1	V9H0D5
A0A087WWJ1	V9H0B2
A0A087WWJ1	V9H062
A0A087WWJ1	V9H068
P19438	Q9UHD2
A0A087WWJ1	V9H019
A0A087WWJ1	V9H015
E9PNU4	H7C3C7
A0A087WWJ1	V9H023
Q86VS8	Q9UJC3
P04350	Q8WWQ0
H0YJ47	H7C1E4
O14920	P22392
E9PP73	Q6P1Q5
P05787	Q99959
P22626	P52907
A0A1W2PQS1	Q6IB71
P13010	P68400
P13010	P68431
A1L0W4	P07900
B7Z2J9	P61421
P35354	Q09472
B1AK85	Q53GC7
H0YKT8	Q5U0A0
P13010	P68371
B4DFP5	Q9H3B0
B4DF86	E9PQE8
G3V1A4	Q96FU6
A6NJ08	Q92769
Q15542	Q68CP9
P12931	Q9GZQ8
A4UCT1	Q2TSD0
B7Z8Z6	J3KQ69
P56962	Q8TBE1
A0A0D9SET9	P51553
C9JTT7	P12004
A0A087X2I1	Q13200
Q14974	Q9BQE4
G3V1A4	Q96DE1
B4DF86	E9PKS9
A0A087X2I1	Q13041
H0Y8E6	Q9UJA3
B4E1C8	Q96A65
A0A087WYP7	B3KMW5
B4DF86	E9PN70
O00303	Q59G89
O00303	Q59GH5
O00628	Q92968
P08912	P47901
A0A0J9YWE8	B7ZA86
J3QS84	O95325
Q7Z6P5	Q9NXL9-4
F5GZ03	P78371
P41134	Q03135
A0A087X2I1	H7BZR6
Q2M3D2	Q96A65
O00303	Q59F65
O00303	Q59EL2
B1AMU3	H0Y9L5
Q9H7N4	Q9HAK2
A5GZ75	P60981
P49418	Q08289
H0YMI6	P35998
P14625	P16455
C9J634	P29803
E5RH56	Q9Y248
Q71US4	Q9BPX4
Q13308	Q92997
Q58FG0	S4R3N1
A0A1B0GTP9	Q7Z338
P47756	P63261
O14867	P35638
P11387	Q9H211
P56545	Q9NQ66
P15498	P49795
P13639	P35998
A0A087X2I1	H7C2Q3
P16870	Q13131
P35452	Q8IZM8
A0A087X2I1	H7C378
A0A087X2I1	H7C1H2
C9JZR7	G3V1A4
O75815	Q96CD4
P26012	Q96AC1
P15498	Q9BZS1
P38159	Q8WXA9
C9JCK5	Q75L23
A0A1W2PRR1	P14625
B3KMK7	Q9NSN1
A0A0S2Z4Q4	P53675
P54792	Q155Q3
P28358	P40424
P28358	P40425
P28358	P40426
O95155	Q12834
H0YJ47	H7BZG6
P54792	Q15796
A0A087WYS5	B2RA50
P19387	Q6PL18
P02778	P55774
O15260	Q86WV6
P32856	Q96JB2
P32856	Q96JC1
B7Z5N7	P32856
D3YTJ7	Q53FW2
O00487	P13716
P56962	Q8WUH2
O00487	P13639
O95155	Q14CS0
A0A087WWJ1	Q0ZAJ2
A0A087WWJ1	Q0ZAJ1
Q13573	Q86X95
P06576	Q5TC12
P12644	Q8N8U9
H0Y579	Q9BQI9
P0CG47	Q8IU60
P61981	P63010
Q92878	Q9H816
B4DGE1	H0YJI3
P56962	Q99816
E9PSD7	Q9HA47
P0CG47	Q8IUH4
P0CG47	Q8IUH5
A6NMS2	I3L4G9
Q96HZ4	Q9H808
P07998	Q04206
P56962	Q99747
P61981	P63261
F8W1F4	Q5JYG3
P61981	P63208
Q9C0D3	Q9Y5A7
A8K7A0	F8VNY2
P46695	P61073
A6NMS2	I3L331
P25054	P54792
O60331	O95782
I3L4N8	Q9Y281
P36578	Q92616
B4DEV8	O00231
Q9Y3P9	Q9Y678
P0CG47	Q8IXJ6
A6NMS2	I3L0S1
A6NMS2	I3L164
B4DGE1	H0YLX6
B4DEV8	O00303
B4DGE1	H0YN38
P07737	Q15843
P0CG47	Q8IVV7
P28223	Q01718
A8K7A0	F8VSB2
B4DEV8	O00487
B4DGE1	H0YLI7
O15400	Q8IUR0
P0CG47	Q8IWV7
P0CG47	Q8IWE4
Q14139	Q92575
O95405	Q9H4A4
A0A024R7U6	Q9H4N9
P32856	Q96NA8
P21675	Q08999
Q14139	Q92890
O15503	Q9UBM7
P17275	Q8N1L9
O00541	P26373
Q15369	Q3SY89
Q13573	Q86TJ2
P36578	Q92841
P46940	Q92529
Q15596	Q8NF64
P0CG47	Q8IZX4
O15260	Q7Z5G4
P0CG47	Q8IZH2
P36578	Q92901
G3XAN3	Q9H4N9
H0YJY1	Q86Y82
P01042	Q9UGM5
A5YKK6	P60321
A5YKK6	P60323
Q14839	Q8N7R0
Q5QNW6	Q99525
O95503	Q07666
P60370	Q6PEX3
B7Z7I4	B7Z9L0
J3QSA9	Q59FJ0
O15265	Q13200
P12931	Q9HCX4
P12931	Q9HCU4
J3QSA9	Q59F72
Q9UKF6	Q9Y2Y1
J3QSA9	Q59GS3
P60953	Q9UBW5
B4DP31	E7EW35
P55210	Q96P09
P02489	P02511
Q5QNW6	Q99877
Q5QNW6	Q99879
A0A1W2PRC2	Q8N4C7
B1AK87	P47755
J3QSA9	Q59EG8
A1KYQ7	Q6ZNE1
B4DP31	E7EPA1
P46095	Q5VV63
B4DZ22	P33897
P10412	P28360
P02489	P02768
E9PD24	Q59EQ2
Q8TAV4	Q8TF05
P56537	Q13347
P53609	Q92696
Q9NWX6	Q9Y3C4
P30613	P54652
P20226	Q8WTS6
B3KVF0	P33992
B3KVF0	P33991
B3KVF0	P33993
O43699	P02751
O95325	Q59F65
O95325	Q59EL2
Q14573	Q9UL62
E7EQ34	Q96NA8
Q14839	Q8N108
P12755	Q13573
P61968	Q02575
B4DJB4	D3DWV9
E9PP50	I3L3R2
P14625	P19447
Q99741	Q9BZS1
E9PP50	I3L3I0
B2R6N0	E7EM64
Q14839	Q8N344
Q99741	Q9BZE4
P14625	P19388
Q5QNW6	Q99880
P51553	Q99855
Q99741	Q9BX63
Q16514	Q92831
C9JZG1	Q6P1R0
O00186	O95721
E9PP50	I3L4N8
A0A0S2Z438	E9PM98
B7ZB52	O43747
P62820	Q969M3
Q9HC52	Q9HCE1
E7EQ34	Q96NX8
Q16236	Q16656
P00533	P23528
O00444	Q13616
Q99741	Q9BV87
P06241	P20749
P19438	Q9UM54
H0YEG0	P56377
B4DV79	Q24JU4
P55210	Q96AQ7
O94806	P21675
B4DMA2	K7EQA9
P32238	Q01718
Q9H9A5	Q9UPT9
B7ZLZ7	C9JWF0
A0A087WTQ2	A8K3R2
B4DJB0	Q9H4N8
A0A087WZZ7	B4DDC7
G3V4X5	P60900
F6U1T9	P16298
Q14765	Q8NF64
P15531	Q05193
Q14765	Q8NFD5
Q5TAQ9	Q9BW61
P13349	Q15788
P13349	Q15797
P13349	Q15796
P43489	P62987
Q53G55	Q58FF2
Q53G55	Q58FF4
Q53G55	Q58FF3
Q53G55	Q58FF6
Q53G55	Q58FF8
Q53G55	Q58FF7
Q53G55	Q58FF9
H0YJ82	Q6TGM0
H0YJ82	Q6TGM1
Q53G55	Q58FG1
Q53G55	Q58FG0
B4DDJ7	D2CPJ4
B4DDJ7	D2CPJ3
B4DDJ7	D2CPJ5
P13349	Q15596
Q9UJX2	Q9UKT4
H7C3T0	Q15008
B3KNW1	X6R390
Q93050	Q99460
A0A1W2PRC2	B1AJQ6
A0A075B6K4	P01602
P62258	Q6P0Q8
P48730	Q9NYF0
B3KSC2	Q6FHF7
H3BM38	Q12846
P52630	Q8TDR4
P52630	Q8TDY2
Q8TEE9	Q96ST3
O75081	Q86U70
Q8NEJ9	Q9BVI4
A1L0W4	Q5CAQ4
A1L0W4	Q5CAQ5
B4DMA2	K7EL68
Q4QRK8	Q96HT3
B4DMA2	K7EKQ2
B7Z5N7	Q7Z338
P62877	Q07812
A0A1B0GTP9	P32856
Q02246	Q16620
O14867	P38398
P25205	Q7Z6P5
B4DVW7	Q5JP02
B4DVW7	Q5JP01
P05771	Q13009
O95630	Q9UK80
Q7L5N1	Q9Y6E3
B1AP52	Q59EQ2
A0A087WZG6	B3KNB4
G3V1A4	Q8WVW5
P09211	P45983
B4DSZ1	B4E3U3
O14933	Q96BH1
P56537	Q14152
H3BM38	Q13277
B7ZLZ7	C9JJ64
O60806	Q13285
A0A087WWJ1	E9PHA6
Q92673	Q96QK1
O75962	P48059
O95155	Q14669
Q9BRR8	Q9Y333
E9PAV3	P23193
Q8N2W9	Q96EB6
B4DJX9	F8W9Z6
F5H459	O95782
P23497	Q96JM7
P22003	P36888
B7ZAY4	H0YCG5
B4DGE1	H0Y673
P32856	Q96AJ9
A0A075B6K4	P01742
A0A075B6K4	P01717
A0A075B6K4	P01871
A0A075B6K4	P01876
P13500	P39060
O15265	Q12805
A0A075B6K4	P01834
Q53G55	Q59EK6
O95069	Q9UPU3
B7ZLZ7	C9JR83
P14625	P18074
O60331	O94973
Q5D1E8	Q92844
O14933	Q96EQ8
O00198	Q16548
O43251	Q9NWB1
A0A087WZG6	B3KT37
P00533	P24821
B4DSZ1	B4E141
B7ZLZ7	C9JVD8
E9PD24	Q4VY19
H3BM38	Q13190
P05549	Q6VUC0
B7ZAY4	H0YLE8
O94874	P00533
Q15596	Q8N2W9
B2RE06	Q6NX51
P30518	P34947
Q53HB3	Q59GS3
P12755	Q15475
Q9UEU0	Q9UID3
F6SFB5	Q86V28
G3V5E2	Q13190
F6SFB5	Q86U41
P48357	Q07954
B4DVK5	Q59F49
P35637	Q13595
O60674	P46095
G3V5E2	Q13277
F6SFB5	Q86U03
O94888	Q8WVZ9
Q70T24	Q9HCX4
A0A0B4J1V1	A0A0C4DH73
P54252	P54257
Q5SZW8	Q9BU08
Q15596	Q92753
P0C2W1	Q7L622
Q53G55	Q59FC6
O43157	Q9UIW2
P52630	Q96QR8
P0C1H6	Q5QNW6
P52630	Q96RS0
A6NMT0	Q12824
P16144	P17813
I3L1P5	Q9H3B0
O43157	Q9ULL4
E9PQP4	F5H459
Q8N2W9	Q96KM6
P00533	P25098
Q8WZ42	Q969Q1
Q13618	Q6JEL2
O75023	P06126
A0A024RAE6	E7EWC2
O60674	P46527
O00444	Q15058
O43918	P30876
O60674	P46663
A8K4G7	H3BMU1
P49790	Q12986
P31947	Q96CW1
B1AK88	C9JUG7
E9PMD8	Q6MZI6
P49736	Q6NXT2
B3KTA5	O75396
P32856	Q99747
Q14258	Q9UKV5
P32856	Q8WUH2
J3QLL0	J3QR48
D6RFN0	Q9UNM6
D6RFN0	Q9UNM7
D6RFN0	Q9UNS2
Q13206	Q9NVP1
O95067	P0CG48
P83731	Q6DKI1
C9JTV5	P59998
P61978	P84243
P07948	P10275
C9J7B7	Q8N9M2
G3V4X5	P62333
B4DSY4	Q59GA3
P50570	Q8WV41
P13639	P38919
Q99504	Q9H808
P02792	P0CG48
C9J8Y3	P53365
C9J8Y3	P53367
H7C531	Q7L5N1
A3KFL2	D6RA17
A0A087WYL6	B2R6N6
G3V4X5	P62191
G3V4X5	P62195
A0A0B4J1Z2	A0A0J9YX35
P31947	Q8TF05
P31947	Q8TEW0
P31947	Q8TEW8
O15347	Q9NYB0
B4E0X6	E7EM64
P07900	Q86SX1
P35555	P51884
H0YD73	Q96DE8
G3V5E2	Q12846
P46379	Q969H8
F8W8N3	Q13616
A3KFL2	D6R905
P41134	Q06455
A8K146	B4DEA3
C9K087	Q53HJ4
A8K146	B4DDJ7
P17861	Q9UKD1
D6RBK0	Q99623
Q53HB3	Q59F72
P02489	P04792
C9K087	Q53FG5
Q53HB3	Q59EG8
P07900	Q86U12
E7EQ34	Q99747
Q8N144	Q9NTQ9
Q53HB3	Q59FJ0
Q14568	Q7L3B6
O14980	O43390
E9PFG7	P36957
P62987	Q7Z434
B2RBM7	B3KSH1
O14980	O43318
B2RBM7	B3KT66
P50502	P61457
P07900	Q86Y82
O14980	O43566
O76036	Q95460
B2RA72	K7EL71
P00749	P01009
Q6DN03	Q93079
O00487	P14618
O00487	P14625
B4DR83	Q53FX3
O60674	P47775
B2RA72	K7EKZ3
O00165	Q99759
Q13586	Q9P246
P61968	Q06547
P62987	Q7Z4H7
B7Z5E4	Q96NX8
B7Z5E4	Q96NA8
O76036	Q95604
Q15437	Q96NA8
H3BR36	Q6PK37
P05787	P43686
O00629	P62826
P48431	Q9H161
Q15800	Q5HYJ1
Q14765	Q92905
A0A1W2PQS1	Q6MZI6
A0A0B4J1X5	P01599
A0A0B4J1X5	P01597
B2RE06	Q6PJ82
Q9BZD4	Q9HD42
O60543	Q8N5P9
Q07687	Q8TDD2
A0A1B0GWF2	B0AZT9
B2RBM7	B3KM48
Q14765	Q92769
O00255	Q8N2W9
P09874	Q9UPN9
P51668	Q9UMX0
Q01844	Q01860
G3V2J8	P07900
A3KFL2	D6RIY6
P52888	Q9UBN7
A0A0B4J1X5	P01834
B2RBM7	B3KNN7
H7C2Q3	P43686
P12644	Q92743
A0A0D9SG66	B4DJB4
Q05586	Q7Z6R9
P36578	Q8TD47
O75475	Q13490
A0A0B4J1X5	P01611
A0A0B4J1X5	P01601
A0A0B4J1X5	P01602
Q14139	Q8TAT6
P09874	Q9UKV0
P48431	Q9H9Z2
A0A0K0K1L3	Q9H7Z5
O15400	Q8N9I0
A8K4G7	H3BRE2
D6RG15	P63261
A8K4G7	H3BQF7
O43189	Q01844
Q07866	Q68CV8
A0AVG3	O95721
O14640	P84022
H0YL50	Q6P1M2
C9JGY5	P40937
C9JGY5	P40938
A0A087X2D8	G5E9S8
Q5EG05	Q9NPP4
B4DFL3	Q6IB71
B4DSQ5	Q9NWP5
A8K4G7	H3BUI0
O15400	Q8N4C7
P28335	P78352
P00533	P26639
P19438	P50591
Q308M6	Q6FI35
M0R0G9	Q6NVW9
Q308M6	Q6FHF5
P23511	P68400
P17066	P31689
P06241	P21333
H7C3C7	Q86Y82
P60953	Q9Y6B5
C9JCK5	P20618
Q00526	Q9BTV7
Q13077	Q6GPH4
P52434	Q9ULJ6
A0A0D9SG66	B4DSY4
B1AMU7	D6R905
A5YKK6	P63279
A0A0D9SG66	B4DU38
J3QLH6	V9HW55
P60953	Q9Y5S2
Q8N4C7	U3KPT7
J3QLH6	V9HW24
K7EJP1	Q5QNZ2
P19438	Q9Y5S8
A0A087WUX6	Q99460
B4DVK5	Q4ZG57
P19438	Q9Y572
B4DFP5	F5H5N6
P63104	P68400
P05067	Q13526
P10826	Q8IXJ9
P31689	Q9HCK5
P54821	Q9H161
B4DUQ9	Q7Z6P5
B4DJF2	B5BU24
A0A0G2JQT9	Q92572
A0A087WZG6	P62258
P52630	Q99732
A0A0J9YWZ2	Q9H4N8
Q58FF6	S4R3N1
O00165	P42224
O00165	P42226
A8K781	J3KN29
P12004	Q59FA0
A9YTQ3	P08238
P15923	Q6IE81
P17980	P61201
B4DJF2	H0YB80
P17980	P61221
B1AMU7	D6RA17
P12004	Q59GW7
P51965	Q5VTB9
H0YBX6	P61088
A8K781	J3KRP2
P56539	Q5BKX8
O75629	P07384
A0A087WY10	V9HW24
A0A087WY10	V9HW55
P53621	Q04917
E9PI41	R4GMQ7
P06732	P17540
P17987	P35606
Q58FF4	Q86U12
Q14781	Q8IY57
E9PI41	R4GNH9
P48431	Q9HCK8
B3KW85	Q9BRG2
B7Z9J8	Q99855
H0YFC6	O94829
P00533	P27797
P61088	Q12933
B7Z5J7	Q9H115
P0CG47	Q8NFH5
P0CG47	Q8NEY4
A8K794	Q6DN03
P35637	Q15233
P0CG47	Q8NF64
P54709	Q5JTV8
Q58FF4	Q86SX1
P57073	Q13516
P22670	P46531
P05771	Q16659
P0CG47	Q8ND76
P40879	Q7LBE3
B1AMU7	D6RIY6
Q06455	Q9HD90
H0YEG0	P59780
P0CG47	Q8NEB9
P05771	Q16512
P16885	P21333
O75832	P61201
E9PHA6	Q6LAI4
A0A087WW88	F8VUA2
P00533	P27348
O75475	Q14966
P54727	Q9NQ35
Q8N2W9	Q8WUM0
A0A1W2PRR1	Q6FG59
A0A0C4DH36	A0A0C4DH73
B4DKR0	O75558
P36578	Q96G21
Q3KR50	Q8IWP8
C9IYK1	Q96KN9
A8K4W7	Q9Y436
Q8N2W9	Q99543
H7C4C8	Q59H77
P55197	Q8TEK3
A8K4W7	Q9Y4T0
O60231	Q6NWY9
B4DKR0	O75396
Q8N2W9	Q99684
B2R6C6	B3KNL3
P18074	Q15691
B2R6D0	P62333
C9JLS9	G3V4X1
C9JLS9	G3V4X5
J3QLW7	K7ELV5
F8W0A2	H0YHR7
P36578	Q96L21
P18074	Q15555
P07948	P12931
O00487	P18669
P51991	Q13523
K0A7K7	Q53G55
Q8IY97	Q9Y587
K0A7K7	Q53FS6
A0A0D9SEP9	O15400
Q12873	Q8N2W9
O75475	Q14498
E7EW35	O60256
H3BP15	Q6LEU0
O95630	Q9Y4K3
B2R6D0	P62195
B2R6D0	P62191
P06241	P24723
H7C3T0	V9HW55
A0A0U1RQU7	Q6IAL5
P19438	P51617
P42858	Q13127
P42858	Q13153
P42858	Q13177
O76036	Q8TD07
Q9NPD3	Q9Y333
P18074	Q15173
P51148	Q9H9S3
Q9Y3C5	Q9Y4K3
A0A0S2Z5R6	J3KQ69
O00141	Q9Y6K9
G3V2J8	P08238
J3QLW7	K7EJ83
O75376	P37840
H0YJY1	P32856
E9PD53	Q6IPS5
P0C1H6	Q5TEC6
H7C3C7	Q7Z338
P42858	Q13501
P57073	Q13285
A0A0B4J207	E7EW35
O14972	Q5JPE4
O75928	P0CG48
O75928	P0CG47
B4DM48	Q6PK37
O14788	P12931
A0A0B4J207	E7EPA1
Q2M389	Q9Y3C0
A6NDZ8	Q03112
P52434	Q9Y6X2
M0R1S0	O43747
H3BM38	Q16623
P15173	X6REB3
B7Z6T7	P54727
B7Z6T7	P54725
O43353	Q99623
O14662	Q86Y82
C9IYK1	Q969M2
P13807	P35573
Q15650	Q9UKL0
P61088	Q13064
Q99741	Q9HD42
B4DUR8	E9PCA1
O75019	P01893
O75019	P01891
B4E3E1	Q9Y587
P60981	Q9BYX7
P08908	P47901
K7EQA9	P07900
H0YDG7	H0YJU0
O75019	P01730
C9JNQ3	P21108
H0YDG7	H0YJ75
H0YDG7	H0YJ49
P61088	Q13263
H0YDG7	H0YN84
G3V2M8	Q96NA8
H0YJY1	Q7Z338
O60674	P49685
P19438	P53355
B4DHT9	Q6PK50
K7EK77	P30049
P61088	Q13489
K7EP16	Q96G38
E7EVZ2	P27348
P25205	P35249
B7Z8H0	Q6DN03
P52434	Q9Y230
O43157	Q9Y4D7
C9J9Z8	F6V107
P24390	Q15436
B4DSD7	J3KSB0
B4DSD7	J3KRU1
O14657	Q5JTV8
B3KT37	R4GN62
B4DQY1	Q96B13
P51991	Q15233
A3KFL5	B2RDZ9
B7Z8H0	Q6DRA6
H0YN84	Q8NB89
A0A0G2JS82	Q9Y587
Q7LBE3	Q8NG04
O15409	P56545
A3KFL5	B2RC50
B3KVN2	P53609
B3KVN2	P53611
P23771	P35226
Q5TZX9	Q8N4C7
A8K3N2	B4DET1
P01871	P13747
P00533	P28799
P51991	Q15020
Q96N77	Q9HBU1
P11387	Q9NS56
C9JN51	O14920
P10114	P46934
P00403	Q96KJ9
A0A024R408	Q9H7Z5
B4DYT1	Q9NXL9
P10809	Q6P2C8
P56545	Q9UN79
O60765	P63167
P62820	Q8WUD1
A6NHQ2	Q9H649
O00422	P19784
P18074	Q14258
P23219	P35228
O75360	Q08117
P14618	Q00266
A0A0B4J1X5	P04430
P32856	P40763
P06241	P23469
P06241	P23471
P0CG47	Q8N1F7
P49736	Q71DI3
Q04727	Q96HZ4
G3V2J8	Q5CAQ5
G3V2J8	Q5CAQ4
O96019	Q09028
I3L3T1	P27348
P51991	Q14498
B3KV41	Q6ZMK4
K7EQA9	P08238
P05067	Q15113
P41143	P62879
O15213	Q2NL82
C9JNQ3	Q6ZTP6
P42858	Q14814
O15260	P33947
P61964	Q9BYE7
Q8IWV8	Q99460
P31947	Q96II8
P02776	P10124
A0A087X2I1	V9HW24
P31947	Q96HS1
A0A087X2I1	V9HW55
B4DII5	Q9UKX7
O14929	Q8TEX9
Q14839	Q92922
P14625	Q6FG59
H7C229	Q9BV52
P0CG47	Q8N5U6
A0A087WZG6	P61981
O15116	O43395
C9JN51	O15111
P0CG47	Q8N465
P17980	P60709
P56545	Q9UIF8
A0A0U1RRI1	P53597
P61088	Q14258
A8KA13	P41182
P07900	P30793
P0CG47	Q8N8Y2
O15116	O43172
Q14573	Q9Y210
P61088	Q14164
O15350	Q7RTS1
P02489	P05813
A0A0U1RRI1	B2R8A1
Q04727	Q96RK0
P17861	Q9Y692
P07900	P30613
P56545	Q9UKS7
O43521	Q92843
P25789	Q6IB71
O00165	P40763
B4DFL3	Q6MZI6
E9PK25	G8FSY7
E9PSD7	Q9NWZ5
P39748	Q14191
B4DLT1	Q53FR4
P98160	Q08431
B4DJB0	F5GZI3
A0A0G2JS82	B2R4I8
B7ZBM4	O14653
B3KNL3	P48995
Q8TBF4	Q96J01
Q92878	Q9NRD1
B4E335	B7Z9M9
P17980	P63244
A0A0G2JS82	P53680
P17980	P63279
E9PQG3	H3BTM8
P17980	P63104
P22670	Q9BQA5
P17980	P63167
A0A087WWI0	M0R0G9
O14733	O95999
O00571	P60228
P06241	P26038
A0AUL6	P23528
A0A087WWI0	M0R2B8
B4DXI8	P61201
A0A087WWI0	M0R268
Q6P1K8	Q8N567
A0A087WWI0	M0R221
P00747	Q13219
O14974	Q9Y572
Q68CP9	Q9P2D1
A0A096LP51	H0YIP2
E9PQG3	H3BNT7
G5EA36	H0YIW2
P05109	P62937
Q00526	Q9H981
Q5JYG3	Q9H9Y4
Q92841	Q96ES7
P08069	P62987
C9J0E9	E7EM64
O43157	P51805
P55884	Q6ZNE1
P06241	P26951
P06241	P26992
B4DVU3	Q6P1R0
P0CG47	Q92673
B7Z5X1	E9PPI5
Q69YP2	Q8TAR2
D6RFN0	P51665
A0A087WU65	B1AJQ6
P29475	Q86SK9
A0A087WWI0	M0QXK2
P17066	P34931
P0CG47	Q92485
B7Z5X1	E9PNM7
Q9Y5G2	Q9Y5H5
J3QS88	O00232
J3QS88	O00231
Q9C0C9	Q9Y4K3
P07900	Q7Z6Z7
Q9HC52	Q9NYF8
P55036	Q53HB3
J3QS88	O00303
P01893	Q14943
P01893	Q14954
P01893	Q14953
A0A087WWI0	M0QZG7
H0YIV0	Q7L3B6
P55036	Q53F10
B1AK88	B4DE01
P12931	Q9NQC3
Q5SZW8	Q9H369
B2RBA6	H0Y8E6
Q01844	Q04725
Q01844	Q04726
Q01844	Q04727
Q01844	Q04724
P12931	Q9NR96
Q8N3C0	Q8N543
P0CG47	Q92833
P0CG47	Q92841
P08621	Q07021
O75475	Q16666
B7Z5X1	E9PHZ6
P0CG47	Q92905
B2RD27	J3KTB0
B7Z5X1	E9PH38
Q96FW1	Q9UK80
P81877	Q9BZK7
B2RD27	J3KSA5
B7Z8Z6	Q53FG5
B2RD27	J3KRE8
O00571	P60842
B2RD27	J3KRJ4
C9JTT7	Q6FI35
Q14839	Q8TDI0
E9PKS9	E9PN70
C9JTT7	Q6FHF5
B7Z8Z6	Q53HJ4
Q14201	Q15797
O60784	O75674
Q14765	Q96RS0
P20774	Q99983
J7M2B1	Q5T376
Q14765	Q96QR8
O15498	Q12846
Q13094	Q8IVH8
B2RD27	J3KNQ3
H0YJI3	O75843
Q9H0U3	Q9Y673
Q9H0U3	Q9Y672
E9PKS9	E9PQE8
Q12841	Q13705
B7Z5D9	C4P0D8
B7Z5D9	C4P0D4
B7Z5D9	C4P0D6
P38159	Q9BWF3
P61326	Q9Y2W1
G3XAN3	Q9NXL9
I3L3S0	Q9Y296
H7C3C7	P32856
Q8WVD3	Q96B02
P17980	P62258
