J3KQE5	Q6PKD4
B7Z1G3	H0YJ75
C9J8M6	E5RFJ8
C9J8M6	E5RG31
Q12962	Q16186
Q7L273	Q9H944
Q02809	Q8NBK3
B7Z1G3	H0YJU0
B4DE70	P63027
P13010	P18669
C9K0K7	O60256
O94776	Q9H9S0
P29590	P81877
A0A0K0K1I8	B4DJX9
H0YJC4	P25786
H0YJC4	P25788
H0YJC4	P25787
H0YJC4	P25789
P07948	Q14511
B7Z1G3	H0YN84
P11532	P29475
E7EW33	Q6P1M2
P0CG48	Q5M7Z0
B3KP06	Q96CD4
B7Z9S6	P53597
P61086	Q9C040
A0A087WXL6	B2RB94
B4DMT8	F5GZI3
Q5VWV2	R4GMM2
P42766	Q9NX58
F5H282	F8WAM2
Q7Z2G1	Q99877
Q7Z2G1	Q99879
Q7Z2G1	Q99880
J3QRY4	J3QS84
J3QRY4	J3QS88
C9J7B7	D6RAX7
A0A0K0K1I8	B4DKR0
P0CG48	Q5M9Q1
Q5QJU3	Q9NYP7
A6NJI9	B4DDC7
P05388	Q92616
P26038	P28482
G3V4X5	Q5U0A0
A0A0J9YXZ5	Q5JYX0
C9J7B7	D6RD63
O60739	P61247
O60739	P61254
O00220	P22681
H3BN71	P56377
C9J7B7	D6RFN0
P05388	Q92901
J3QR48	O15131
A0A0K0K1I8	B4DH37
Q7LBR1	Q8IX04
O14788	Q15910
E9PG15	Q9H4N8
O95751	P56524
O14641	P55196
A0A0S2Z5R6	O75419
P23508	P32856
B3KQV6	Q14738
A0A087WY74	B4DUJ4
Q13490	Q9ULV8
A0A0C4DGE4	Q96NA8
A4D210	Q3B770
O14788	Q15628
E9PPY8	F6SFB5
A0A0K0K1I8	B4DE70
Q5SQN1	Q6P186
O43597	Q13571
Q13523	Q96SB4
P02730	P22748
Q6ZV50	Q9Y6J9
P33992	Q8NHX6
B2R7T8	F8W9N7
O75844	P08473
F5H282	F8VQ14
A6NMS2	Q53FW2
H0YKU5	Q7L5N1
B7Z1G3	H0Y8C4
B4DJX9	Q7Z338
P09017	Q9H161
P13797	Q12929
O14641	P54792
B4DVQ5	Q6ZNE1
P40429	P63244
Q13404	Q86Y13
P15812	P43626
P15812	P43628
P15812	P43629
P15812	P43631
B4DUQ9	G3XAN3
O14595	Q05D32
Q9NXL9	Q9Y5N6
O94989	Q13526
Q7Z3Z4	Q96J94
A0A140VJQ5	Q16187
P51572	P54652
P25391	Q02388
P42684	Q15303
Q155Q3	Q7L5Y9
P62241	Q9BY44
P33260	Q16647
B4DPM7	Q7L5N1
O14497	Q9H9S0
B3KQV6	Q15172
B3KQV6	Q15173
B4DRT3	Q8WUW7
F5H676	Q5SZW8
F5H676	Q5SZX6
F5H676	Q5SZX9
